,주용도코드명,대지위치
0,편의시설,경기도 과천시 관문동 3번지
5,교육연구및복지시설,경기도 과천시 관문동 47번지
6,주거지,경기도 과천시 관문동 52-6번지
7,편의시설,경기도 과천시 관문동 69-10번지
8,편의시설,경기도 과천시 관문동 70-3번지
9,주거지,경기도 과천시 관문동 70-5번지
10,편의시설,경기도 과천시 문원동 15-2번지
11,주거지,경기도 과천시 문원동 15-3번지
12,편의시설,경기도 과천시 문원동 15-4번지
13,주거지,경기도 과천시 문원동 15-5번지
14,주거지,경기도 과천시 문원동 15-6번지
15,주거지,경기도 과천시 문원동 15-7번지
16,주거지,경기도 과천시 문원동 15-8번지
17,주거지,경기도 과천시 문원동 15-9번지
18,편의시설,경기도 과천시 문원동 15-11번지
19,주거지,경기도 과천시 문원동 15-12번지
20,주거지,경기도 과천시 갈현동 2번지
22,편의시설,경기도 과천시 갈현동 3-3번지
23,주거지,경기도 과천시 갈현동 5-1번지
24,편의시설,경기도 과천시 갈현동 5-2번지
25,편의시설,경기도 과천시 갈현동 6-1번지
26,주거지,경기도 과천시 갈현동 6-2번지
27,주거지,경기도 과천시 갈현동 7-1번지
28,주거지,경기도 과천시 갈현동 7-2번지
29,주거지,경기도 과천시 갈현동 7-3번지
30,창고시설,경기도 과천시 막계동 14번지
31,편의시설,경기도 과천시 막계동 20번지
32,편의시설,경기도 과천시 막계동 31번지
33,편의시설,경기도 과천시 막계동 32-5번지
34,편의시설,경기도 과천시 막계동 35번지
35,편의시설,경기도 과천시 막계동 39-2번지
36,편의시설,경기도 과천시 막계동 39-4번지
37,편의시설,경기도 과천시 막계동 40번지
38,편의시설,경기도 과천시 막계동 41번지
39,편의시설,경기도 과천시 막계동 43번지
40,편의시설,경기도 과천시 과천동 11번지
41,편의시설,경기도 과천시 과천동 11-1번지
42,농축산업시설,경기도 과천시 과천동 14-4번지
43,편의시설,경기도 과천시 과천동 14-11번지
44,편의시설,경기도 과천시 과천동 16-6번지
45,편의시설,경기도 과천시 과천동 16-7번지
46,편의시설,경기도 과천시 과천동 16-8번지
47,편의시설,경기도 과천시 과천동 16-13번지
48,편의시설,경기도 과천시 과천동 16-14번지
49,주거지,경기도 과천시 과천동 17번지
50,교육연구시설,경기도 과천시 주암동 1번지
53,교육연구시설,경기도 과천시 주암동 1-1번지
54,창고시설,경기도 과천시 주암동 7-6번지
55,창고시설,경기도 과천시 주암동 10-2번지
56,주거지,경기도 과천시 주암동 11-1번지
57,주거지,경기도 과천시 주암동 17-1번지
58,주거지,경기도 과천시 주암동 17-5번지
59,편의시설,경기도 과천시 주암동 18-2번지
60,생산시설,경기도 과천시 중앙동 1번지
66,생산시설,경기도 과천시 중앙동 1-1번지
67,생산시설,경기도 과천시 중앙동 1-3번지
70,주거지,경기도 과천시 원문동 4번지
80,님비시설,경기도 과천시 별양동 1-2번지
81,편의시설,경기도 과천시 별양동 1-3번지
82,편의시설,경기도 과천시 별양동 1-4번지
83,편의시설,경기도 과천시 별양동 1-5번지
85,편의시설,경기도 과천시 별양동 1-6번지
86,판매시설,경기도 과천시 별양동 1-7번지
88,생산시설,경기도 과천시 별양동 1-8번지
89,생산시설,경기도 과천시 별양동 1-9번지
90,주거지,경기도 과천시 부림동 11-1번지
91,주거지,경기도 과천시 부림동 11-2번지
92,주거지,경기도 과천시 부림동 11-3번지
93,주거지,경기도 과천시 부림동 11-4번지
94,주거지,경기도 과천시 부림동 11-5번지
95,주거지,경기도 과천시 부림동 11-6번지
96,주거지,경기도 과천시 부림동 11-8번지
97,주거지,경기도 과천시 부림동 12-1번지
98,주거지,경기도 과천시 부림동 12-2번지
99,주거지,경기도 과천시 부림동 12-4번지
