광역지자체,시군구,50kW,100kW싱글,100kW듀얼,200kW듀얼,300kW이상,사용량,자료등록일시
세종특별자치시,세종특별자치시,0,0,2,0,0,17572.77,2021-12-17 10:15:21.0
세종특별자치시,세종특별자치시,0,1,0,0,0,8066.51,2021-12-17 10:15:21.0
세종특별자치시,세종특별자치시,0,1,0,0,0,1409.71,2021-12-17 10:15:21.0
세종특별자치시,세종특별자치시,0,1,0,0,0,0.45,2021-12-17 10:15:21.0
세종특별자치시,세종특별자치시,0,0,2,0,0,11652.85,2021-12-17 10:15:21.0
세종특별자치시,세종특별자치시,0,0,2,0,0,39015.83,2021-12-17 10:15:21.0
세종특별자치시,NULL,1,0,0,0,0,40131.29,2021-12-17 10:15:21.0
세종특별자치시,NULL,2,0,0,0,0,53158.44,2021-12-17 10:15:21.0
세종특별자치시,NULL,2,0,0,0,0,52022.48,2021-12-17 10:15:21.0
세종특별자치시,세종특별자치시,0,0,2,0,0,35878.33,2021-12-17 10:15:21.0
세종특별자치시,세종특별자치시,0,0,2,0,0,16028.43,2021-12-17 10:15:21.0
세종특별자치시,세종특별자치시,0,0,2,0,0,20446.4,2021-12-17 10:15:21.0
세종특별자치시,세종특별자치시,0,0,4,0,0,65617.67,2021-12-17 10:15:21.0
세종특별자치시,세종특별자치시,0,1,0,0,0,32863.39,2021-12-17 10:15:21.0
세종특별자치시,세종특별자치시,0,1,0,0,0,6299.03,2021-12-17 10:15:21.0
세종특별자치시,세종특별자치시,0,1,0,0,0,22137.41,2021-12-17 10:15:21.0
세종특별자치시,세종특별자치시,0,1,0,0,0,9728.83,2021-12-17 10:15:21.0
세종특별자치시,NULL,2,0,0,0,0,4945.72,2021-12-17 10:15:21.0
세종특별자치시,NULL,1,0,0,0,0,3.3,2021-12-17 10:15:21.0
세종특별자치시,NULL,4,0,0,0,0,188444.71,2021-12-17 10:15:21.0
세종특별자치시,NULL,2,0,0,0,0,69742.63,2021-12-17 10:15:21.0
세종특별자치시,NULL,1,0,0,0,0,63748.43,2021-12-17 10:15:21.0
세종특별자치시,세종특별자치시,1,0,0,0,0,143641.02,2021-12-17 10:15:21.0
세종특별자치시,세종특별자치시,1,0,0,0,0,6928.92,2021-12-17 10:15:21.0
세종특별자치시,세종특별자치시,1,0,0,0,0,15146.08,2021-12-17 10:15:21.0
세종특별자치시,세종특별자치시,1,0,2,0,0,110150.25,2021-12-17 10:15:21.0
세종특별자치시,세종특별자치시,1,0,4,0,0,98259.93,2021-12-17 10:15:21.0
세종특별자치시,가람동,6,0,0,0,0,57842.23,2021-12-17 10:15:21.0
