주차장관리번호,주차장명,주차장구분,주차장유형,소재지도로명주소,소재지지번주소,주차구획수,급지구분,부제시행구분,운영요일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,요금정보,주차기본시간,주차기본요금,추가단위시간,추가단위요금,1일주차권요금적용시간,1일주차권요금,월정기권요금,결제방법,특기사항,관리기관명,전화번호,위도,경도,데이터기준일자
151-2-000010,공항1공영주차장,공영,노외,,대구광역시 동구 지저동 907 (대구공항 맞은편),89,3,미시행,평일+토요일+공휴일,06:00,22:00,09:00,19:30,09:00,19:30,유료,30,400.0,10.0,200.0,3.5,4000.0,40000.0,현금,,대구시설공단,053-603-1192,35.89703794,128.6424703,2022-06-20
151-2-000011,공항2공영주차장,공영,노외,,대구광역시 동구 지저동 460-4 (대구공항 맞은편),186,3,미시행,평일+토요일+공휴일,06:00,22:00,09:00,19:30,09:00,19:30,유료,30,400.0,10.0,200.0,3.5,4000.0,40000.0,현금,,대구시설공단,053-603-1192,35.8985225,128.6362915,2022-06-20
151-2-000017,평화시장 공영주차장,공영,노외,,대구광역시 동구 신암동 604-1,63,2,미시행,평일+토요일+공휴일,09:00,19:30,09:00,19:30,09:00,19:30,유료,30,600.0,10.0,300.0,3.5,6000.0,80000.0,현금,,대구광역시 동구청 교통과,053-662-3015,35.88427648,128.6198107,2022-06-20
151-2-000018,"신천1,2동 공영주차장",공영,노외,,대구광역시 동구 신천동 544-5 (송라시장주변),37,1,미시행,평일+토요일+공휴일,09:00,19:30,09:00,19:30,09:00,19:30,유료,30,1000.0,10.0,500.0,3.5,10000.0,100000.0,현금,,대구광역시 동구청 교통과,053-662-3015,35.87486373,128.6150706,2022-06-20
151-2-000019,방촌시장 공영주차장(전통),공영,노외,대구광역시 동구 동촌로42길 19-12,대구광역시 동구 방촌동 1072-1(방촌시장주변),49,3,미시행,평일+토요일+공휴일,09:00,19:30,09:00,19:30,09:00,19:30,무료,30,,,,,,,,,대구광역시 동구청 교통과,053-662-3015,35.881201,128.6631126,2022-06-20
151-2-000020,해안동 공영주차장,공영,노외,,대구광역시 동구 방촌동 126-2,21,3,미시행,평일+토요일+공휴일,09:00,19:30,09:00,19:30,09:00,19:30,무료,30,,,,,,,,,대구광역시 동구청 교통과,053-662-3015,35.89132596,128.6770200444,2022-06-20
151-2-000021,율암동 공영주차장,공영,노외,대구광역시 동구 용계로 89,대구광역시 동구 율암동 524-416,31,3,미시행,평일+토요일+공휴일,09:00,19:30,09:00,19:30,09:00,19:30,무료,30,,,,,,,,,대구광역시 동구청 교통과,053-662-3015,35.88000971,128.7013903,2022-06-20
151-2-000022,불로전통시장공영주차장,공영,노외,대구광역시 동구 팔공로30길 7-6,대구광역시 동구 불로동 483-3,49,3,미시행,평일+토요일+공휴일,09:00,19:30,09:00,19:30,09:00,19:30,무료,30,,,,,,,무료,,대구광역시 동구청 교통과,053-662-3015,35.9122316,128.642024,2022-06-20
151-2-000023,공항시장 공영주차장,공영,노외,대구광역시 동구 해동로 19-2,대구광역시 동구 지저동 694-51,40,3,미시행,평일+토요일+공휴일,09:00,19:30,09:00,19:30,09:00,19:30,유료,30,400.0,10.0,200.0,3.5,4000.0,40000.0,현금,,대구광역시 동구청 경제정책과,053-662-2664,35.89616391,128.6380569,2022-06-20
151-2-000024,반야월동편공영주차장(전통),공영,노외,대구광역시 동구 율하동로 143,대구광역시 동구 신기동 174-1,52,3,미시행,평일+토요일+공휴일,09:00,19:30,09:00,19:30,09:00,19:30,유료,30,400.0,10.0,200.0,3.5,4000.0,40000.0,현금,,대구광역시 동구청 교통과,053-662-3015,35.872429,128.7024484,2022-06-20
151-2-000012,신천3동 공영주차장(전통시장,공영,노외,대구광역시 동구 송라로14길 46-2,대구광역시 동구 신천동 281-10 (동대구역전시장근처),27,1,미시행,평일+토요일+공휴일,09:00,18:00,09:00,19:30,09:00,19:30,유료,30,1000.0,10.0,500.0,3.5,10000.0,100000.0,현금,,대구시설공단,053-603-1192,35.874531,128.6212185,2022-06-20
151-2-000019,불로동공영주차장,공영,노외,대구광역시 동구 팔공로23길 14-6,대구광역시 동구 불로동 661,16,3,미시행,평일+토요일+공휴일,09:00,19:30,09:00,19:30,09:00,19:30,무료,30,,,,,,,,,대구광역시 동구청 교통과,053-662-3015,35.909641,128.6398757,2022-06-20
151-2-000020,도평동 공영주차장,공영,노외,,대구광역시 동구 도동 978-301,31,3,미시행,평일+토요일+공휴일,09:00,19:30,09:00,19:30,09:00,19:30,무료,30,,,,,,,,,대구광역시 동구청 교통과,053-662-3015,35.910218,128.6500546,2022-06-20
151-2-000021,도평동 제2공영주차장,공영,노외,,대구광역시 동구 도동 978-401,28,3,미시행,평일+토요일+공휴일,09:00,19:30,09:00,19:30,09:00,19:30,무료,30,,,,,,,,,대구광역시 동구청 교통과,053-662-3015,35.90999148,128.6526558,2022-06-20
151-2-000022,반야월서편공영주차장,공영,노외,,대구광역시 동구 신기동 174,72,3,미시행,평일+토요일+공휴일,09:00,19:30,09:00,19:30,09:00,19:30,유료,24,400.0,10.0,200.0,3.5,4000.0,40000.0,현금,,대구광역시 동구청 교통과,053-662-3015,35.87257768,128.7019733,2022-06-20
151-2-000023,미대동 공영주차장,공영,노외,,대구광역시 동구 미대동 514,22,3,미시행,평일+토요일+공휴일,09:00,19:30,09:00,19:30,09:00,19:30,무료,30,,,,,,,,,대구광역시 동구청 교통과,053-662-3015,35.952514,128.676957,2022-06-20
