도로명,위치,mean
갈매로,기쁨뜰공원(청사),3.039768076923078
갈매로,제3주차장(서측),2.9266064308681683
당산로,연서면 봉암리,3.4269252747252743
산학리길,장군면 산학리,2.9153301104972407
새내로,서울외과 앞,5.015715193370168
새내로,조치원여중 앞,4.505823780487807
시목부강로,시목교교차로 앞,3.312264640883977
시청대로,세종 시청(공주),3.281429558011052
연청로,문곡리 세종방면,2.9818625352112664
용연로,연서면 와촌리,3.1791157303370783
일반국도1호선,산동교차로 대전방면,3.7459002762430917
일반국도36호선,다름고개(세종),5.499072835820898
정안세종로,은하수공원(세종),2.5012491712707177
조치원로,공영버스터미널 앞,5.504025966850829
지방도604호선,연동면 송용리 세종방면,3.0768339285714283
지방도96호선,갈매로(대전),4.354160115606936
지방도96호선,부강교차로 세종방면,2.8596969014084492
지방도96호선,세종이마트(공주),2.7791204419889506
청연로,우리한식뷔페 앞,4.274557746478874
충현로,153자동차정비소 앞,4.057849044585984
평기길,장군면 평기리,2.8414229281767964
한누리대로,국세청맞은편,5.496521823204423
한누리대로,라온프라이빗시티앞,5.100500276243092
한누리대로,반곡동(공주),3.1303743093922645
한누리대로,세종 교육청(공주),3.417529834254145
한누리대로,양지초교북측(세종),4.234333333333333
지방도96호선,장군면 금암리,3.579465254237288
절재로,연기면 세종리(정부청사),3.725983141762454
